symboling,normalized-losses,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,bulan,year,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,aspiration_turbo,body-style_Sedan,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_AWD,drive-wheels_RWD,drive-wheels_fwd,drive-wheels_rwd,engine-location_rear,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
3,0.29842931937172773,2.0,0.068965517241379,0.4504065040650409,0.3247863247863245,0.0,0.41117145073700545,4,0.2839506172839506,0.6642857142857144,0.29047619047619055,0.125,0.39622641509433965,0.346938775510204,0.2,0.2894736842105263,13495.0,0.5333333333333332,1.0,0,1,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,0.29842931937172773,2.0,0.068965517241379,0.4504065040650409,0.3247863247863245,0.0,0.41117145073700545,4,0.2839506172839506,0.6642857142857144,0.29047619047619055,0.125,0.39622641509433965,0.346938775510204,0.2,0.2894736842105263,16500.0,0.5333333333333332,1.0,0,1,2,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0.29842931937172773,2.0,0.27241379310344804,0.4894308943089434,0.44444444444444464,0.32727272727272716,0.5178432893716058,6,0.37448559670781895,0.10000000000000009,0.6666666666666667,0.125,0.6666666666666666,0.346938775510204,0.14285714285714285,0.26315789473684204,16500.0,0.6315789473684212,1.0,0,1,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,0.5183246073298429,4.0,0.45517241379310347,0.5772357723577235,0.5042735042735043,0.5,0.3293250581846392,4,0.19753086419753085,0.4642857142857142,0.6333333333333333,0.1875,0.339622641509434,0.5510204081632655,0.28571428571428575,0.368421052631579,13950.0,0.4166666666666667,1.0,0,1,1,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2,0.5183246073298429,4.0,0.4413793103448276,0.5772357723577235,0.5213675213675231,0.5,0.5182311869666407,5,0.30864197530864196,0.4642857142857142,0.6333333333333333,0.0625,0.42138364779874216,0.5510204081632655,0.11428571428571427,0.1578947368421053,17450.0,0.6888888888888891,1.0,0,1,1,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0.29842931937172773,2.0,0.45517241379310347,0.588617886178862,0.5128205128205119,0.39090909090909065,0.3952676493405741,5,0.30864197530864196,0.4642857142857142,0.6333333333333333,0.09375,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,15250.0,0.6315789473684212,1.0,0,1,6,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.486910994764398,4.0,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.6272727272727279,0.525989138867339,5,0.30864197530864196,0.4642857142857142,0.6333333333333333,0.09375,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,17710.0,0.6315789473684212,1.0,0,1,1,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.29842931937172773,4.0,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.6272727272727279,0.5686578743211792,5,0.30864197530864196,0.4642857142857142,0.6333333333333333,0.09375,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,18920.0,0.6315789473684212,1.0,0,1,1,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.486910994764398,4.0,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.6454545454545455,0.6198603568657874,5,0.28806584362139925,0.4214285714285715,0.6333333333333333,0.08125000000000004,0.5786163522012578,0.5510204081632655,0.08571428571428574,0.10526315789473684,23875.0,0.7529411764705887,1.0,0,1,1,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2,0.6649214659685865,2.0,0.5034482758620689,0.5804878048780489,0.38461538461538414,0.5,0.35182311869666405,4,0.1934156378600823,0.6857142857142857,0.3476190476190477,0.11250000000000004,0.33333333333333337,0.6734693877551019,0.2571428571428572,0.3421052631578947,16430.0,0.45217391304347837,0.0,0,1,10,2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0.6439790575916231,2.0,0.5034482758620689,0.5804878048780489,0.38461538461538414,0.5,0.474010861132661,6,0.42386831275720166,0.55,0.5333333333333334,0.125,0.4591194968553459,0.04081632653061229,0.2,0.3157894736842105,20970.0,0.5333333333333332,1.0,0,1,1,2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
